"Year"	"P"	"R"	"L"	"G"	"F"	"T"	"Cluster"	"Silhouette"	"Silhouette_neighbor"
2006	0.262536873156342	0.0637565026294219	0.071779744346116	0.217247097844113	0.0851063829787234	0.0653465346534653	"P+ L-"	0.305507324969316	"Unnamed"
2006	0.104834471886495	0.107158399639744	0.532404974601506	0.0156710914454277	0.305285970036747	0.00669767441860465	"Unnamed"	0.39078601820405	"F+"
2006	0.124288154897494	0.234390614463972	0.266799544419134	0.0393583286700242	0.0476190476190477	0	"P+ L-"	0.0690200086132738	"Unnamed"
2006	0.149412353088272	0.105345310976299	0.3192048012003	0	0.222999001284063	0	"P+ L-"	-0.0181140209551979	"Unnamed"
2006	0.0532404181184669	0.213098031325227	0.51205574912892	0	0.0554740240680951	0	"Unnamed"	0.285662684703763	"R+ F-"
2006	0.20876445526476	0.399295282175522	0.557516737674985	0	0.166913946587537	0	"R+ F-"	0.281749988802224	"P+ L-"
2006	0.0893813930832927	0.161015905088912	0.28373112518266	0.011760752688172	0.625963690624223	0	"F+"	0.303913296795021	"Unnamed"
2006	0.0728627928202008	0.056573544389661	0.532248250684515	0	0.379669540229885	0.00259487512163477	"Unnamed"	0.298274598923518	"F+"
2006	0.0764997248211337	0.447774781613581	0.48293891029169	0	0.0647374701670644	0	"R+ F-"	0.380788891269387	"Unnamed"
2006	0.0772339470139201	0.166333654685251	0.338347552761563	0.0397523623330075	0.163486454652532	0	"Unnamed"	0.271800818625956	"P+ L-"
2006	0.117947747065505	0.0246017936141072	0.515524422567209	0	0.19084996636017	0	"Unnamed"	0.432948067919789	"P+ L-"
2006	0.114683815648446	0.232218642588328	0.518220793140407	0.0120879120879121	0.247276688453159	0.00221975582685905	"Unnamed"	0.175479841481934	"R+ F-"
2006	NA	NA	NA	NA	NA	NA	"InfNaNNA"	NA	NA
2006	0.0227827502034174	0.0572121881689141	0.600183075671277	0.0620376998329754	0.420910724985021	0	"Unnamed"	0.226218942526557	"F+"
